Source,Target
"My husband may not be the world’s most glamorous guy, but he_brings_home_the_bacon.","Chồng tôi có thể không phải là một người quyến rũ nhất thế giới, nhưng anh ta là trụ cột trong gia đình."
The drink is on the house tonight,Tối nay quán đãi đồ uống miễn phí.
 it's time to hit_the_books ,Đã đến lúc học rồi.
He kicked_the_bucket last year.,Ông ấy đã qua đời năm ngoái
He is really a_bad_apple.,Anh ta thực sự là một người tồi.
She was like a_cat_on_hot_bricks before her big exam.,Cô ấy đã rất lo lắng trước kỳ thi.
"Losing the job was tough, but every cloud has a_silver_lining.","Mất việc thật khó khăn, nhưng trong cái rủi có cái may."
The new Honda is expected to sell_like_hotcakes after it’s released.,Mẫu xe Honda mới dự kiến sẽ bán chạy như tôm tươi sau khi ra mắt.
Your_days_are_numbered if you keep doing that.,Bạn sẽ chết sớm nếu bạn tiếp tục làm vậy.
"He never lies, to the_best_of_my_knowledge .","Anh ấy không bao giờ nói dỗi, ít nhất là những gì tôi biết."
We can get the documents you need_chop_chop.,Chúng tôi có thể lấy tài liệu của bạn một cách nhanh chóng
Take his advice with_a_grain_of_salt.,Hãy cân nhắc lời khuyên của anh ta một cách thận trọng.
He is really a_bad_apple.,Anh ta thực sự là một người tồi.
"It is to late for you to do that, the_ship_has_sailed","Đã quá muộn để bạn làm điều đó rồi, bạn đã mất cơ hội đó."
Only the_top_banana can make a decision,Chỉ có người cầm quyền có thể đưa ra quyết định.
I can’t help you with your presentation right now. I have bigger_fish_to_fry.,Tôi không thể giúp bạn được. Tôi có việc quan trọng hơn phải làm.
Let the_cat_out_of_the_bag.,Tiết lộ bí mật.
Could you lend_me_a_hand with this piano?,Bạn có thể giúp tôi một tay với cái piano này không?
The plan was home and dry.,Kế hoạch đã thành công.
Don't give up!—practice_makes_perfect.,Đừng bỏ cuộc!—có công mài sắt có ngày lên kim.
I'd buy that car in a_hot_minute if i had the money.,Tôi sẽ mua cái xe đó ngay bây giờ nếu tôi có đủ tiền.
It’s nice to slow down at the week-end and take_it_+easy.,Thật tuyệt khi được thư giãn vào cuối tuần.
I'll have the order done_quick_as_a_flash,Tôi sẽ hoàn thành đơn của bạn nhanh như tia chớp
He’s the_big_fish in the company. ,Anh ta là một người quan trọng trong công ty.
She's pulling_your_leg — there’s no test today!,Cô ấy chỉ đang đùa bạn thôi — hôm nay không có bài kiểm tra đâu!
I'd buy that car in a_hot_minute if i had the money.,Tôi sẽ mua cái xe đó ngay bây giờ nếu tôi có đủ tiền.
At the end she won only_by_a_whisker,Cô ấy đã thắng với một khoảng cách rất ngắn.
"She is a small lady,but she is one tough cookie.",Cô ấy dù nhỏ nhưng rất kiên cường.
Keep_your_chin_up; things will get better.,Hãy giữ vững tinh thần; mọi chuyện sẽ khá hơn.
You can't judge_a_book_by_its_cover—it may be better than you think!,Đừng đánh giá nó qua vẻ bề ngoài—nó có thể tốt hơn bạn nghĩ đó!
She threw_caution_to_the_wind and invested all her savings.,Cô ấy liều lĩnh đầu tư toàn bộ tiền tiết kiệm
Be careful not to bite_off_more_you_can_chew.,Hãy cẩn thận đừng cố quá.
I’ve locked the door. They’re as_safe_as_houses,Tôi đã khóa cửa rồi. Chúng sẽ rất an toàn.
"You have to work hard—no pain, no gain",Bạn phải làm việc chăm chỉ—không đau thì không thành công.
She read_between_the_lines and knew he was upset.,Cô ấy hiểu ngầm và biết anh ấy đang buồn.
I meet him once_in_a_blue_moon,Tôi rất hiềm khi gặp anh ấy.
Working from home gives me the_best_of_both_worlds.,Làm việc tại nhà mang lại cho tôi lợi ích từ cả hai phía.
He always gives_me_a_hand with repairing broken things,Anh ấy luôn giúp đỡ tôi sửa chữa đồ bị hỏng.
He got_a_taste_of_his_own_medicine when others ignored him.,Anh ấy bị người khác phớt lờ như cách anh từng làm.
The plan is up_in_the_air right now.,Kế hoạch hiện vẫn chưa chắc chắn.
Don’t bother him when_he’s_in_his_cups.,Đừng làm phiền anh ấy khi anh ấy đang say rượu.
It was the_last_straw that made her quit.,Đó là giọt nước tràn ly khiến cô ấy bỏ việc.
Are you pulling_my_leg?,Bạn đang đùa tôi đấy à?
"It is to late for you to do that, the_ship_has_sailed","Đã quá muộn để bạn làm điều đó rồi, bạn đã mất cơ hội đó."
The whole evidance was sweep_under_the_rug,Tất cả bằng chừng đã được giấu 1 cách kỹ càng
He bent_over_backwards to help her.,	Anh ấy đã cố gắng hết sức để giúp cô ấy.
You’re barking_up_the_wrong_tree.,Bạn đang hiểu nhầm rồi.
Don’t cry_over_spilled_milk.,	Đừng khóc vì chuyện đã qua.
"After struggling with my work, I finally threw_in_the_towel","Sau khi vật lộn với công việc, tôi cuối cùng cũng bỏ cuộc."
Her doctor said she was fit_as_a_fiddle.,Bác sĩ của cô ta nói cô ấy rất khỏe mạnh
The dress she wants for her birthday will cost_a_pretty_penny.,Chiếc váy mà cô ấy muốn mua cho ngày sinh nhật sẽ tốn một khoản tiền kha khá.
You will require a_snowball’s_chance_in_hell to pass this exam.,Bạn sẽ cần một cơ hội ngàn vàng để vượt qua kỳ thi này.
I was sick_as_a_parrot after seeing them lost the game,Tôi đã rất thất vọng sau khi thấy họ thua trận.
It's raining_cats_and_dogs,Trời mưa rất to
New Year's Eve is just_around_the_corner!,Giao thừa sắp đến rồi!
Let’s get_the_ball_rolling on this project.,	Hãy bắt đầu dự án này thôi.
He was hands-down the best student in class.,Anh ấy chắc chắn là một học sinh giỏi nhất lớp.
She gave me the_cold_shoulder at the party,Cô ấy phớt lờ tôi tại bữa tiệc
"I'm sory to hear that you failed the exam, better_luck_next_time.","Tôi rất tiếc khi nghe rằng bạn đã trượt, thôi thì thua keo này ta bày keo khác."
Her doctor said she was fit_as_a_fiddle.,Bác sĩ của cô ta nói cô ấy rất khỏe mạnh
Don’t_judge_a_book_by_its_cover,Đừng nhìn mặt bắt hình dong
"There are just a few problems to_iron_out, then we'll be ready","Chỉ cần giải quyết một số vấn đề, rồi chúng ta sẽ sẵn sàng."
They cut_corners to finish the project on time.,Họ làm qua loa để hoàn thành dự án đúng hạn
Give me a beer. I’m having one_for_the_road.,Cho tôi một ly bia. Đây là ly cuối của tôi.
"I can't drive, I had_one_too_many","Tôi không lái được, tôi đã uống quá nhiều."
You’re barking_up_the_wrong_tree.,Bạn đang hiểu nhầm rồi.
I’m feeling_under_the_weather today.,	Hôm nay tôi thấy không khỏe.
"If you wait for him to finish his part of the project, you’ll be waiting_till_the_cows come home ","Nếu bạn đợi anh ấy hoàn thành công việc của anh ấy trong dự ăn, bạn sẽ phải đợi anh ấy rất lâu đó."
We're going to be late. Put_the_pedal_to_the_metal!,Chúng ta sẽ muộn mất. Hãy lái nhanh nhất có thể!
I can’t help you with your presentation right now. I have bigger_fish_to_fry.,Tôi không thể giúp bạn được. Tôi có việc quan trọng hơn phải làm.
His sickness was a_blessing_in_disguise,Căn bệnh của anh ta hóa ra là một phước lành.
He is really a_bad_apple.,Anh ta thực sự là một người tồi.
We were in_the_same_boat during the crisis.,Chúng tôi cùng cảnh ngộ trong thời kỳ khủng hoảng.
The dress she wants for her birthday will cost_a_pretty_penny.,Chiếc váy mà cô ấy muốn mua cho ngày sinh nhật sẽ tốn một khoản tiền kha khá.
His sickness was a_blessing_in_disguise,Căn bệnh của anh ta hóa ra là một phước lành.
These kinds of mistakes are a_dime_a_dozen,Những lỗi như thế này rất phổ biến
He's going_around_the_bend.,Anh ấy đang mất trí.
It was her chance to speak and she was getting_cold_feet.,Đó là cơ hội để cô ấy lên tiếng nhưng cô ấy lại cảm thấy lo lắng.
"Once_upon_a_time, there was a girl living inside that forest.","Ngày xưa, có một cô gái sống trong khu rừng đó."
I decided to bite_the_bullet and take the exam,	Tôi quyết định cắn răng chịu đựng và đi thi.
He told us to recount the story in_a_nutshell,Anh ấy bảo chúng tôi kể lại câu chuyện một cách ngắn gọn.
The news was music_to_my_ears.,Bản tin đó như là nhạc cho tai tôi vậy.
"If you wait for him to finish his part of the project, you’ll be waiting_till_the_cows come home ","Nếu bạn đợi anh ấy hoàn thành công việc của anh ấy trong dự ăn, bạn sẽ phải đợi anh ấy rất lâu đó."
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
That’s just a_fish_story. Don't try to fool me.,Đó chỉ là một câu chuyện bịa đặt. Đừng có cố mà lừa tôi.
My younger brother is the_apple_of_my_eye.,Em trai tôi chính là con ngươi trong mắt tôi.
She's really on_the_ball with her new project.,Cô ấy rất nhanh nhạy với dự án mới.
My brother has a big exam next week so he is already burn_the_midnight_oil,Anh trai tôi có kỳ thi lớn vào tuần tới nên anh ấy đã thức khuya học bài rồi.
I decided to bite_the_bullet and take the exam,	Tôi quyết định cắn răng chịu đựng và đi thi.
"If_you_scratch_my_back, i'll_scratch_yours.",Có qua lại mới toại lòng nhau.
I'll eat dinner on_the_fly,Tôi sẽ ăn tối trên đường.
Long_story_short: she sold it.,Nói tóm lại: cô ấy đã bán nó.
I have a_million_and_one ideas.,Tôi có rất nhiều ý tưởng.
The noise caused all the neighbors to go_nuts.,Cái tiếng ồn đó đã làm tất cả hàng xóm phát điên.
splitting_headache,Đau đầu như búa bổ
His sickness was a_blessing_in_disguise,Căn bệnh của anh ta hóa ra là một phước lành.
He sensed that there were multiple_clouds_on_the_horizon.,Anh ấy cảm thấy rằng nó vẫn còn rất nhiều vấn đề.
"Inside, there is no room to swing_a_cat.",Bên trong rất nhỏ.
I'm exhausted; I'm going to hit_the_sack.,Tôi mệt quá; tôi đi ngủ đây.
Don't cry_over_spilled_milk.,Đừng than vãn chuyện đã rồi. 
They finally saw_eye_to_eye on the issue.,Họ cuối cùng cũng đồng thuận về vấn đề đó.
My mother is back_on_her_feet after being sick for a week.,Mẹ tôi đã hồi phục trọn vẹn sau khi bị ốm trong một tuần.
The plan went_down_in_flames.,Kế hoạch thành ra thảm bại.
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
You’re skating_on_thin_ice by arriving late again.,Cậu đang cực liều khi lại đến muộn đấy.
She hit_the_nail_on_the_head with her comment.,Cô ấy đã nói trúng phóc với lời nhận xét của mình.
" I’m sorry_to_rain_on_your_parade, but the park is closed.","Tôi xin lỗi vì đã làm hỏng kế hoạch của bạn, nhưng công viên đóng cửa rồi"
I take_something_for_granted that I woụld find the perfect job.,Tôi đã cho rằng mình sẽ tìm được công việc hoàn hảo mà không cần cố gắng.
You really hit_the_nail_on_the_head with that comment.,Cái bình luận của bạn thực sự thật chính xác và sâu sắc
Only the_top_banana can make a decision,Chỉ có người cầm quyền có thể đưa ra quyết định.
You should both see_eye_to_eye if you want this resolved.,Hai bạn nên có cùng một quan điểm riêng nếu bạn muốn giải quyết vấn đề này.
Let's call_it_a_day.,Hãy dừng lại và nghỉ đi.
You can't judge_a_book_by_its_cover—it may be better than you think!,Đừng đánh giá nó qua vẻ bề ngoài—nó có thể tốt hơn bạn nghĩ đó!
He sensed that there were multiple_clouds_on_the_horizon.,Anh ấy cảm thấy rằng nó vẫn còn rất nhiều vấn đề.
He is a_pain_in_the_neck,Anh ta quả là một nỗi phiền toái.
My younger brother is the_apple_of_my_eye.,Em trai tôi chính là con ngươi trong mắt tôi.
"Do whatever you want, I do not give_a_fug.","Bạn làm gì cũng được, tôi không quan tâm."
"Sure, I’ll go out with Cynthia again. When_pigs_fly ",Tôi sẽ đi chơi với Cynthia khi nào lợn mọc cánh mà bay.
"Although he just came, he already knew which_way_the_wind_blows.","Mặc dù anh ta vừa tới, nhưng anh ta đã có thể biết rằng chuyện gì đang sảy ra."
" My experiment was a failụre, so I'm back to the drawing board","Thí nghiệm của tôi thất bại, nên tôi phải bắt đầu lại từ đầu."
It was the_last_straw that made her quit.,Đó là giọt nước tràn ly khiến cô ấy bỏ việc.
"Losing the job was tough, but every cloud has a_silver_lining.","Mất việc thật khó khăn, nhưng trong cái rủi có cái may."
He is the Jack_of_all_trades and master_of_none.,Nghề nào anh cũng biết nhưng chẳng tinh nghề nào.
"I stayed up all night studying for that exam, and then it turned_out_to_be_a_breeze!","Tôi đã giành cả đêm để ôn cho bải kiểm tra, và hóa ra nó thực sự dễ dàng"
I think we have solved this problem once_and_for_all.,Tôi nghĩ chúng ta đã giải quyết được vấn đề này một lần và mãi mãi.
If i come to the party I'll just_be_a_fifth_wheel.,Nêú tôi đến buổi tiệc của bạn tôi sẽ trông rất thừa thãi
Don't cry_over_spilled_milk.,Đừng than vãn chuyện đã rồi. 
As_pretty_as_paint.,Đẹp như tranh
He jumped_the_gun and sent it early.,Anh ấy vội vàng và gửi nó quá sớm.
Hurry up!—Time is money!,Nhanh lên!—Thời gian là tiền bạc!
"Although he just came, he already knew which_way_the_wind_blows.","Mặc dù anh ta vừa tới, nhưng anh ta đã có thể biết rằng chuyện gì đang sảy ra."
The new scooter surely will knock_your_socks_off!,Cái xe máy mới sẽ chắc chắn làm bạn kinh ngạc.
That’s just a_fish_story. Don't try to fool me.,Đó chỉ là một câu chuyện bịa đặt. Đừng có cố mà lừa tôi.
He's really on_thin_ice.,Anh ấy đang trong một tình huống nguy hiềm.
Hurry up!—Time is money!,Nhanh lên!—Thời gian là tiền bạc!
He was looking_a_little_green around the gills when he came to work today.,Anh ấy trông hơi ốm khi anh đến nơi làm việc hôm nay
He got_home_all_in_one_piece despite the storm,Anh ấy đã về nhà trọn vẹn mặc dù có cơn bão.
She gave me the_cold_shoulder at the party,Cô ấy phớt lờ tôi tại bữa tiệc
"She is a small lady,but she is one tough cookie.",Cô ấy dù nhỏ nhưng rất kiên cường.
Dad will hit_the_roof when he finds out I dented the car.,Bố sẽ nổi giận lắm khi phát hiện ra tôi làm móp xe.
Pull_yourself_together and face the challenge.,Hãy bình tĩnh và đối mặt với thử thách.
Let's call_it_a_day.,Hãy dừng lại và nghỉ đi.
It's raining_cats_and_dogs,Trời mưa rất to
I will call him when_hell_freezes_over.,Tôi sẽ không bao giờ gọi anh ấy
Buying that car cost_me_an_arm_and_a_leg.,Mua chiếc xe đó khiến tôi tốn cả gia tài.
Are you pulling_my_leg?,Bạn đang đùa tôi đấy à?
They are on_cloud_nine.,Họ đang vô cùng hạnh phúc.
The cave we'll pass by is as_black_as_coal.,Cái hang động mà ta sắp đi qua nó đen như mực.
There is no smoke without fire.,Không có lửa sao có khói.
She spilled_the_beans about the wedding plans.,Cô ấy đã tiết lộ kế hoạch đám cưới.
He is the Jack_of_all_trades and master_of_none.,Nghề nào anh cũng biết nhưng chẳng tinh nghề nào.
I was sick_as_a_parrot after seeing them lost the game,Tôi đã rất thất vọng sau khi thấy họ thua trận.
Passing this test will be like shooting_fish_in_a_barrel,Vược qua bài kiểm tra này sẽ rất dễ dàng.
Big Brother seems to grow more and more powerful as data about individuals is accumulated on social networks.,Chính phủ dường như ngày càng trở nên mạnh mẽ khi dữ liệu về cá nhân được tích lũy trên mạng xã hội.
"My grandmother is 92 years old, but she’s still sharp_as_a_tack.",Bà tôi đã 92 tuổi rồi nhưng bà ấy vẫn rất nhanh nhẹn.
I just have_a_lot_on_my_plate right now.,Tôi đang có rất nhiều việc phải làm.
New Year's Eve is just_around_the_corner!,Giao thừa sắp đến rồi!
Getting her to go out with me will be like taking_candy_from_a_baby.,Khiến cô ta đi chơi với tôi sẽ là một chuyện rất dễ dàng.
He was over_the_moon with his exam score.,Anh ấy đã rất vui mừng với điểm thi của anh ấy. 
She was caught_red-handed stealing the book.,Cô ấy bị bắt quả tang đang ăn cắp sách.
It was the_last_straw that made her quit.,Đó là giọt nước tràn ly khiến cô ấy bỏ việc.
I was sick_as_a_parrot after seeing them lost the game,Tôi đã rất thất vọng sau khi thấy họ thua trận.
 I have to hit_the_books this weekend — I have two exams next week,"Tôi phải học cuối tuần này, tuần sau tôi có 2 bài kiểm tra."
We had to identify the_elephant_in_the_room before we made a decision.,Chúng ta phải xác định vấn đề quan trọng trước khi đưa ra quyết định.
"Do whatever you want, I do not give_a_fug.","Bạn làm gì cũng được, tôi không quan tâm."
I ẹnjoy going here once_in_a_while,Tôi thích đến đây thỉnh thoảng.
He jumped_the_gun and sent it early.,Anh ấy vội vàng và gửi nó quá sớm.
He finally apologized—better_late_than_never.,Cuối cùng anh ấy cũng xin lỗi—muộn còn hơn không.
"Better leave her alone, don't_fuel_the_fire!","Để cô ấy yên, đừng có châm dầu vào lửa!"
That’s just a_fish_story. Don't try to fool me.,Đó chỉ là một câu chuyện bịa đặt. Đừng có cố mà lừa tôi.
He's going_around_the_bend.,Anh ấy đang mất trí.
Her presentation was_on_point,Bài thuyết trình của cô ấy rất hoàn hảo.
Ten_to_one I'm going to win.,Tôi rất có thể sẽ thắng.
I have a_million_and_one ideas.,Tôi có rất nhiều ý tưởng.
Don’t bother him when_he’s_in_his_cups.,Đừng làm phiền anh ấy khi anh ấy đang say rượu.
It’s important to buy souvenirs for_your_kith_and_kin.,Việc mua quà lưu niệm cho gia đình là rất quan trọng.
We can get the documents you need_chop_chop.,Chúng tôi có thể lấy tài liệu của bạn một cách nhanh chóng
Don’t get all_bent_out_of_shape out it.,Đừng có tức vì đièu đó.
He’s out_of_the_house_of_correction.,Anh ta đã ra tù.
You should judge him by his work.,Bạn nên đánh giá anh ấy qua công việc của anh ấy.
Big Brother seems to grow more and more powerful as data about individuals is accumulated on social networks.,Chính phủ dường như ngày càng trở nên mạnh mẽ khi dữ liệu về cá nhân được tích lũy trên mạng xã hội.
There is no smoke without fire.,Không có lửa sao có khói.
My mother is back_on_her_feet after being sick for a week.,Mẹ tôi đã hồi phục trọn vẹn sau khi bị ốm trong một tuần.
The noise caused all the neighbors to go_nuts.,Cái tiếng ồn đó đã làm tất cả hàng xóm phát điên.
I will call him when_hell_freezes_over.,Tôi sẽ không bao giờ gọi anh ấy
You're going to follow him? Are you out_of_your_guard?,Bạn sẽ đi theo anh ấy sao? Bạn bị điên à?
"When Mina was in her teens she looked ordinary, but in her early 20s she turned_into_a_real_knockout! ","Khi Mina còn ở tuổi thiếu niên, cô ta nhìn rất bình thường nhưng ở độ tuổi 20 cô ấy biến thành một người phụ nữ rất xinh đẹp"
"I’m really_in_a_pickle. I spent all the money I had saved, and I have no way to pay next semester’s tuition bill.",Tôi thực sự đang gặp rắc rối. Tôi đã tiêu hết tiền tiết kiệm của mình và tôi không có cách nào để trả tiền cho học kỳ tới.
He's really on_thin_ice.,Anh ấy đang trong một tình huống nguy hiềm.
He's in_hot_water for missing the deadline.,Anh ấy gặp rắc rối vì trễ hạn
She stole_my_thunder by announcing the news first,Cô ấy cướp mất sự chú ý của tôi bằng cách thông báo tin trước.
He was hands-down the best student in class.,Anh ấy chắc chắn là một học sinh giỏi nhất lớp.
"Hold on, let me put_my_face_on.","Đợi chút, để tôi trang điểm cái đã."
I meet him once_in_a_blue_moon,Tôi rất hiềm khi gặp anh ấy.
"He never lies, to the_best_of_my_knowledge .","Anh ấy không bao giờ nói dỗi, ít nhất là những gì tôi biết."
I take_something_for_granted that I woụld find the perfect job.,Tôi đã cho rằng mình sẽ tìm được công việc hoàn hảo mà không cần cố gắng.
She hit_the_nail_on_the_head with her comment.,Cô ấy đã nói trúng phóc với lời nhận xét của mình.
"If you wait for him to finish his part of the project, you’ll be waiting_till_the_cows come home ","Nếu bạn đợi anh ấy hoàn thành công việc của anh ấy trong dự ăn, bạn sẽ phải đợi anh ấy rất lâu đó."
He’s got_cold_feet about the wedding.,	Anh ấy cảm thấy lo lắng trước đám cưới.
It was a_blessing_in_disguise.,Đó là vận may trong cái rủi.
Are you pulling_my_leg?,Bạn đang đùa tôi đấy à?
Be careful not to bite_off_more_you_can_chew.,Hãy cẩn thận đừng cố quá.
Ten_to_one I'm going to win.,Tôi rất có thể sẽ thắng.
"Take_your_time, be slow_but_sure.","Hãy dành thời gian của bạn, chậm nhưng chắc."
Let’s come back soon before_the_heavens_open!,Hãy quay trở lại trước khi trời mưa!
Take his advice with_a_grain_of_salt.,Hãy cân nhắc lời khuyên của anh ta một cách thận trọng.
"Come_hell_or_high_water,we will be in New York.","Cho dù thứ gì sảy ra đi chăng nữa, chúng ta sẽ đến New York."
 I have to hit_the_books this weekend — I have two exams next week,"Tôi phải học cuối tuần này, tuần sau tôi có 2 bài kiểm tra."
The dress she wants for her birthday will cost_a_pretty_penny.,Chiếc váy mà cô ấy muốn mua cho ngày sinh nhật sẽ tốn một khoản tiền kha khá.
I have_a_bun_in_the_oven.,Tôi đã có bầu.
You should both see_eye_to_eye if you want this resolved.,Hai bạn nên có cùng một quan điểm riêng nếu bạn muốn giải quyết vấn đề này.
"When Mina was in her teens she looked ordinary, but in her early 20s she turned_into_a_real_knockout! ","Khi Mina còn ở tuổi thiếu niên, cô ta nhìn rất bình thường nhưng ở độ tuổi 20 cô ấy biến thành một người phụ nữ rất xinh đẹp"
"I’m afraid that if we don’t find a solution, we’ll go_belly_up within a year.","Tôi sợ rằng nếu chúng ta không tìm ra được một giải pháp, ta sẽ phá sản trong vòng một năm."
It’ll be_a_cold_day_in_July when our team wins the championship.,Nhóm chúng tôi sẽ không bao giờ giành được chức vô địch.
Let’s come back soon before_the_heavens_open!,Hãy quay trở lại trước khi trời mưa!
He was hands-down the best student in class.,Anh ấy chắc chắn là một học sinh giỏi nhất lớp.
It was her chance to speak and she was getting_cold_feet.,Đó là cơ hội để cô ấy lên tiếng nhưng cô ấy lại cảm thấy lo lắng.
This problem is getting_out_of_hand.,Vấn đề này đang trở nên mất kiểm soát.
He was hands-down the best student in class.,Anh ấy chắc chắn là một học sinh giỏi nhất lớp.
I'm exhausted; I'm going to hit_the_sack.,Tôi mệt quá; tôi đi ngủ đây.
She was like a_cat_on_hot_bricks before her big exam.,Cô ấy đã rất lo lắng trước kỳ thi.
Don’t cry_over_spilled_milk.,	Đừng khóc vì chuyện đã qua.
She read_between_the_lines and knew he was upset.,Cô ấy hiểu ngầm và biết anh ấy đang buồn.
Your_days_are_numbered if you keep doing that.,Bạn sẽ chết sớm nếu bạn tiếp tục làm vậy.
She spilled_the_beans about her secret to her mom.,Cô ấy đã tiết lộ bí mật của mình cho mẹ cô.
He always gives_me_a_hand with repairing broken things,Anh ấy luôn giúp đỡ tôi sửa chữa đồ bị hỏng.
We better_hit_the_road.,Chúng ta nên đi thôi.
I'll play_devil's_advocate to challenge your ideas.,Tôi sẽ đóng vai phản biện để thử thách ý tưởng của bạn.
She’s a_tough_cookie in negotiations.,Cô ấy rất cứng rắn khi đàm phán.
"I can't drive, I had_one_too_many","Tôi không lái được, tôi đã uống quá nhiều."
"If_you_scratch_my_back, i'll_scratch_yours.",Có qua lại mới toại lòng nhau.
I can’t help you with your presentation right now. I have bigger_fish_to_fry.,Tôi không thể giúp bạn được. Tôi có việc quan trọng hơn phải làm.
I'll keep_an_good_eye on your house when you're gone,Tôi sẽ trông nom ngôi nhà của bạn cẩn thận khi bạn đi vắng.
I have_a_bun_in_the_oven.,Tôi đã có bầu.
I think he’ll blow_his_top when you give him the news.,Tôi nghĩ anh ấy sẽ nổi điên khi bạn bao tin đó cho anh ấy.
The market is open_around_the_clock.,Cửa hàng luôn mở cửa cả ngày.
She was like a_cat_on_hot_bricks before her big exam.,Cô ấy đã rất lo lắng trước kỳ thi.
You’re skating_on_thin_ice by arriving late again.,Cậu đang cực liều khi lại đến muộn đấy.
I'll keep_an_good_eye on your house when you're gone,Tôi sẽ trông nom ngôi nhà của bạn cẩn thận khi bạn đi vắng.
Don't give up!—practice_makes_perfect.,Đừng bỏ cuộc!—có công mài sắt có ngày lên kim.
The new Honda is expected to sell_like_hotcakes after it’s released.,Mẫu xe Honda mới dự kiến sẽ bán chạy như tôm tươi sau khi ra mắt.
"If you think I'm going to eat it, you're_all_wet!","Nếu bạn nghĩ rằng tôi sẽ ăn nó, bạn sai rồi!"
 I have to hit_the_books this weekend — I have two exams next week,"Tôi phải học cuối tuần này, tuần sau tôi có 2 bài kiểm tra."
I'll eat dinner on_the_fly,Tôi sẽ ăn tối trên đường.
I've been feeling_on_top_of_the_world since i quit my job,Tôi đã cảm thấy rất khỏe kể từ khi nghỉ việc.
The plan is up_in_the_air right now.,Kế hoạch hiện vẫn chưa chắc chắn.
Her presentation was_on_point,Bài thuyết trình của cô ấy rất hoàn hảo.
There is no smoke without fire.,Không có lửa sao có khói.
She stole_my_thunder by announcing the news first,Cô ấy cướp mất sự chú ý của tôi bằng cách thông báo tin trước.
I take_something_for_granted that I woụld find the perfect job.,Tôi đã cho rằng mình sẽ tìm được công việc hoàn hảo mà không cần cố gắng.
It’s nice to slow down at the week-end and take_it_+easy.,Thật tuyệt khi được thư giãn vào cuối tuần.
 I have to hit_the_books this weekend — I have two exams next week,"Tôi phải học cuối tuần này, tuần sau tôi có 2 bài kiểm tra."
We just got here in_the_nick_of_time.,Chúng ta vừa đến đúng lúc.
I think we have solved this problem once_and_for_all.,Tôi nghĩ chúng ta đã giải quyết được vấn đề này một lần và mãi mãi.
I'll have the order done_quick_as_a_flash,Tôi sẽ hoàn thành đơn của bạn nhanh như tia chớp
Getting her to go out with me will be like taking_candy_from_a_baby.,Khiến cô ta đi chơi với tôi sẽ là một chuyện rất dễ dàng.
James is a_bad_egg. Don’t trust him.,James là một kẻ xấu. Đừng tin anh ấy.
"Although he just came, he already knew which_way_the_wind_blows.","Mặc dù anh ta vừa tới, nhưng anh ta đã có thể biết rằng chuyện gì đang sảy ra."
I’ve locked the door. They’re as_safe_as_houses,Tôi đã khóa cửa rồi. Chúng sẽ rất an toàn.
Take his advice with_a_grain_of_salt.,Hãy cân nhắc lời khuyên của anh ta một cách thận trọng.
She let_the_cat_out_of_the_box and fnally told her parents aboụt her plans of getting married.,Cô ấy đã để lộ bí mật và cuối cùng nói với bố mẹ về kế hoạch kết hôn của mình.
Don't give up!—practice_makes_perfect.,Đừng bỏ cuộc!—có công mài sắt có ngày lên kim.
They are on_cloud_nine.,Họ đang vô cùng hạnh phúc.
She spilled_the_beans about her secret to her mom.,Cô ấy đã tiết lộ bí mật của mình cho mẹ cô.
"Sure, I’ll go out with Cynthia again. When_pigs_fly ",Tôi sẽ đi chơi với Cynthia khi nào lợn mọc cánh mà bay.
He was hands-down the best student in class.,Anh ấy chắc chắn là một học sinh giỏi nhất lớp.
The plan was home and dry.,Kế hoạch đã thành công.
She's really on_the_ball with her new project.,Cô ấy rất nhanh nhạy với dự án mới.
One_drop_of_poison_infects_the_whole_of_wine.,Một con sâu làm rầu nồi canh.
I will be snowed_under for a few days.,Tôi sẽ rất bận trong vài ngày
The painting is not as_black_as_it_is_painted.,Cái bức tranh nó không tệ như mọi người nghĩ.
Take his advice with_a_grain_of_salt.,Hãy cân nhắc lời khuyên của anh ta một cách thận trọng.
She was like a_cat_on_hot_bricks before her big exam.,Cô ấy đã rất lo lắng trước kỳ thi.
Let the_cat_out_of_the_bag.,Tiết lộ bí mật.
"Take_your_time, be slow_but_sure.","Hãy dành thời gian của bạn, chậm nhưng chắc."
You’re skating_on_thin_ice by arriving late again.,Cậu đang cực liều khi lại đến muộn đấy.
Be careful not to bite_off_more_you_can_chew.,Hãy cẩn thận đừng cố quá.
"My grandmother is 92 years old, but she’s still sharp_as_a_tack.",Bà tôi đã 92 tuổi rồi nhưng bà ấy vẫn rất nhanh nhẹn.
He kicked_the_bucket last night.,Ông ấy đã qua đời tối qua.
"I’m afraid that if we don’t find a solution, we’ll go_belly_up within a year.","Tôi sợ rằng nếu chúng ta không tìm ra được một giải pháp, ta sẽ phá sản trong vòng một năm."
He bent_over_backwards to help her.,	Anh ấy đã cố gắng hết sức để giúp cô ấy.
We had a_whale_of_a_time on holiday.,Chúng tôi đã có một kỳ nghỉ tuyệt vời
I will be_on_your_side through thick_and_thin.,Tôi sẽ luôn ở bên bạn dù nó có khó khăn đến đâu
He's really on_thin_ice.,Anh ấy đang trong một tình huống nguy hiềm.
